,index,heart_rate,anomaly
431,2020-01-02 11:55:00,52.03336604514229,1
432,2020-01-02 12:00:00,52.06771344455349,1
433,2020-01-02 12:05:00,52.10206084396467,1
434,2020-01-02 12:10:00,52.136408243375854,1
435,2020-01-02 12:15:00,52.17075564278705,1
436,2020-01-02 12:20:00,52.20510304219823,1
437,2020-01-02 12:25:00,52.23945044160941,1
438,2020-01-02 12:30:00,52.27379784102061,1
439,2020-01-02 12:35:00,52.30814524043179,1
440,2020-01-02 12:40:00,52.34249263984297,1
441,2020-01-02 12:45:00,52.37684003925417,1
442,2020-01-02 12:50:00,52.41118743866535,1
443,2020-01-02 12:55:00,52.44553483807655,1
444,2020-01-02 13:00:00,52.47988223748773,1
445,2020-01-02 13:05:00,52.514229636898925,1
446,2020-01-02 13:10:00,52.54857703631011,1
447,2020-01-02 13:15:00,52.582924435721296,1
448,2020-01-02 13:20:00,52.617271835132485,1
449,2020-01-02 13:25:00,52.65161923454367,1
450,2020-01-02 13:30:00,52.685966633954855,1
451,2020-01-02 13:35:00,52.72031403336605,1
452,2020-01-02 13:40:00,52.75466143277723,1
453,2020-01-02 13:45:00,52.789008832188415,1
454,2020-01-02 13:50:00,52.82335623159961,1
455,2020-01-02 13:55:00,52.85770363101079,1
456,2020-01-02 14:00:00,52.892051030421975,1
457,2020-01-02 14:05:00,52.92639842983317,1
458,2020-01-02 14:10:00,52.96074582924435,1
459,2020-01-02 14:15:00,52.99509322865555,1
460,2020-01-02 14:20:00,53.02944062806673,1
461,2020-01-02 14:25:00,53.06378802747791,1
462,2020-01-02 14:30:00,53.09813542688911,1
463,2020-01-02 14:35:00,53.13248282630029,1
464,2020-01-02 14:40:00,53.166830225711486,1
465,2020-01-02 14:45:00,53.20117762512267,1
466,2020-01-02 14:50:00,53.23552502453386,1
467,2020-01-02 14:55:00,53.269872423945046,1
468,2020-01-02 15:00:00,53.30421982335624,1
469,2020-01-02 15:05:00,53.338567222767416,1
470,2020-01-02 15:10:00,53.37291462217861,1
471,2020-01-02 15:15:00,53.407262021589794,1
472,2020-01-02 15:20:00,53.441609421000976,1
473,2020-01-02 15:25:00,53.47595682041217,1
474,2020-01-02 15:30:00,53.51030421982336,1
475,2020-01-02 15:35:00,53.54465161923455,1
476,2020-01-02 15:40:00,53.57899901864573,1
477,2020-01-02 15:45:00,53.61334641805693,1
478,2020-01-02 15:50:00,53.64769381746811,1
479,2020-01-02 15:55:00,53.68204121687929,1
480,2020-01-02 16:00:00,53.71638861629049,1
481,2020-01-02 16:05:00,53.75073601570167,1
482,2020-01-02 16:10:00,53.78508341511285,1
483,2020-01-02 16:15:00,53.81943081452405,1
484,2020-01-02 16:20:00,53.85377821393523,1
485,2020-01-02 16:25:00,53.88812561334642,1
486,2020-01-02 16:30:00,53.92247301275761,1
487,2020-01-02 16:35:00,53.9568204121688,1
488,2020-01-02 16:40:00,53.99116781157998,1
489,2020-01-02 16:45:00,54.02551521099117,1
490,2020-01-02 16:50:00,54.05986261040236,1
491,2020-01-02 16:55:00,54.09421000981354,1
492,2020-01-02 17:00:00,54.12855740922473,1
493,2020-01-02 17:05:00,54.16290480863593,1
494,2020-01-02 17:10:00,54.19725220804711,1
495,2020-01-02 17:15:00,54.23159960745829,1
496,2020-01-02 17:20:00,54.26594700686949,1
497,2020-01-02 17:25:00,54.30029440628067,1
498,2020-01-02 17:30:00,54.33464180569185,1
499,2020-01-02 17:35:00,54.36898920510305,1
500,2020-01-02 17:40:00,54.40333660451423,1
501,2020-01-02 17:45:00,54.43768400392541,1
502,2020-01-02 17:50:00,54.47203140333661,1
503,2020-01-02 17:55:00,54.50637880274779,1
504,2020-01-02 18:00:00,54.54072620215898,1
505,2020-01-02 18:05:00,54.57507360157017,1
506,2020-01-02 18:10:00,54.60942100098136,1
507,2020-01-02 18:15:00,54.64376840039255,1
508,2020-01-02 18:20:00,54.67811579980373,1
509,2020-01-02 18:25:00,54.71246319921492,1
510,2020-01-02 18:30:00,54.7468105986261,1
511,2020-01-02 18:35:00,54.781157998037294,1
512,2020-01-02 18:40:00,54.81550539744848,1
513,2020-01-02 18:45:00,54.84985279685967,1
514,2020-01-02 18:50:00,54.88420019627085,1
515,2020-01-02 18:55:00,54.91854759568205,1
516,2020-01-02 19:00:00,54.95289499509323,1
517,2020-01-02 19:05:00,54.98724239450441,1
518,2020-01-02 19:10:00,55.02158979391561,1
519,2020-01-02 19:15:00,55.05593719332679,1
520,2020-01-02 19:20:00,55.09028459273797,1
521,2020-01-02 19:25:00,55.12463199214917,1
522,2020-01-02 19:30:00,55.15897939156035,1
523,2020-01-02 19:35:00,55.19332679097154,1
524,2020-01-02 19:40:00,55.22767419038273,1
525,2020-01-02 19:45:00,55.26202158979392,1
526,2020-01-02 19:50:00,55.29636898920511,1
527,2020-01-02 19:55:00,55.330716388616295,1
528,2020-01-02 20:00:00,55.36506378802748,1
529,2020-01-02 20:05:00,55.39941118743866,1
530,2020-01-02 20:10:00,55.433758586849855,1
531,2020-01-02 20:15:00,55.46810598626104,1
532,2020-01-02 20:20:00,55.50245338567223,1
533,2020-01-02 20:25:00,55.536800785083415,1
534,2020-01-02 20:30:00,55.57114818449461,1
535,2020-01-02 20:35:00,55.60549558390579,1
536,2020-01-02 20:40:00,55.639842983316974,1
537,2020-01-02 20:45:00,55.67419038272816,1
538,2020-01-02 20:50:00,55.70853778213935,1
539,2020-01-02 20:55:00,55.74288518155053,1
540,2020-01-02 21:00:00,55.77723258096173,1
541,2020-01-02 21:05:00,55.81157998037291,1
542,2020-01-02 21:10:00,55.8459273797841,1
543,2020-01-02 21:15:00,55.88027477919529,1
544,2020-01-02 21:20:00,55.91462217860648,1
545,2020-01-02 21:25:00,55.94896957801767,1
546,2020-01-02 21:30:00,55.983316977428856,1
547,2020-01-02 21:35:00,56.01766437684004,1
548,2020-01-02 21:40:00,56.05201177625122,1
549,2020-01-02 21:45:00,56.086359175662416,1
550,2020-01-02 21:50:00,56.1207065750736,1
551,2020-01-02 21:55:00,56.1550539744848,1
552,2020-01-02 22:00:00,56.189401373895976,1
553,2020-01-02 22:05:00,56.22374877330717,1
554,2020-01-02 22:10:00,56.25809617271835,1
555,2020-01-02 22:15:00,56.292443572129535,1
556,2020-01-02 22:20:00,56.32679097154072,1
557,2020-01-02 22:25:00,56.36113837095191,1
558,2020-01-02 22:30:00,56.395485770363095,1
559,2020-01-02 22:35:00,56.42983316977429,1
560,2020-01-02 22:40:00,56.46418056918547,1
561,2020-01-02 22:45:00,56.49852796859666,1
562,2020-01-02 22:50:00,56.53287536800785,1
563,2020-01-02 22:55:00,56.56722276741904,1
564,2020-01-02 23:00:00,56.60157016683022,1
565,2020-01-02 23:05:00,56.63591756624142,1
566,2020-01-02 23:10:00,56.6702649656526,1
567,2020-01-02 23:15:00,56.70461236506378,1
568,2020-01-02 23:20:00,56.73895976447498,1
569,2020-01-02 23:25:00,56.77330716388616,1
570,2020-01-02 23:30:00,56.80765456329736,1
571,2020-01-02 23:35:00,56.84200196270854,1
572,2020-01-02 23:40:00,56.87634936211973,1
573,2020-01-02 23:45:00,56.91069676153092,1
574,2020-01-02 23:50:00,56.945044160942096,1
575,2020-01-02 23:55:00,56.97939156035329,1
576,2020-01-03 00:00:00,56.6,1
577,2020-01-03 00:05:00,54.8,1
578,2020-01-03 00:10:00,54.2,1
579,2020-01-03 00:15:00,54.8,1
580,2020-01-03 00:20:00,53.0,1
581,2020-01-03 00:25:00,53.4,1
582,2020-01-03 00:30:00,54.4,1
583,2020-01-03 00:35:00,53.8,1
584,2020-01-03 00:40:00,52.0,1
585,2020-01-03 00:45:00,52.8,1
586,2020-01-03 00:50:00,54.0,1
